# student = Csilla Horváth			
# mail: csilla.horvath@helsinki.fi			
# language = mns (Mansi,  Uralic)			
# description = Three articles from the Mansi newspaper. Morphological analysis assisted with giellatekno infrastructure.			
			
# sent_id = 1			
# text = Зоя Павловна Самбиндалова Ха̄льӯс район Шайтанкат (Ялпыӈ-нёл-па̄вылт) о̄лы.			
# text_en = Zoya Pavlovna Sambindalova lives in Shaytanka (Holy-cape-village), Berezovki rayon.			
# lang = mns			
, 		CLB	
хӯл 	fish	N Sg Nom	
А̄с 	Ob	N Prop Sg Nom	
я̄т 	river	N Sg Loc	
алыщлас 	kill	V Act Ind Prt ScSg3	
ос 	and	CC	
о̄луӈкве 	to live	V Inf	
тыт 	here	Adv	
хультыс	remain	V Act Ind Prt ScSg3	
.		CLB	
			
# sent_id = 11			
# text = Ма̄нья-сӯнтыт о̄лнэ рӯтанув ёт а̄тям ва̄йхатас, ам иӈ ня̄врамыг о̄лсум, хунь тав та̄н палтаныл ялыс.			
# text_en = My father knew our relatives living in Manyya-sunt, I was still a child, when he went to them.			
# lang = mns			
Ма̄нья-сӯнтыт 	Manyya-sunt	N Prop Sg Loc	
о̄лнэ 	living	V PrsPrc 	
рӯтанув	relative	N Pl Nom PxPl1	
ёт 	with	Po	
а̄тям	father	N Sg Nom PxSg1	
ва̄йхатас	know each other	V Act Ind Prt ScSg3	
, 		CLB	
ам 	I	Pron Pers Sg1 Nom	
иӈ 	still	Adv	
ня̄врамыг 	child	N Sg Tra	
о̄лсум	was	V Act Ind Prt ScSg1	
, 		CLB	
хунь	when	Adv	
тав 	he	Pron Pers Sg3 Nom	
та̄н 	they	Pron Pers Pl3 Nom	
палтаныл 	side	Po PxPl3	
ялыс	go	V Act Ind Prt ScSg3	lit. 'to go and return repeatedly', perhaps indicating that he was visiting them more than once.
.		CLB	
			
# sent_id = 12			
# text = Ам тай та ма̄т о̄лнэ рӯтанум щар ат ва̄щиньтасанум, нас ва̄глум, тот Самбиндаловыт о̄лэ̄гыт.			
# text_en = I didn't really know my relatives that were living there, I only know that Sambindalovs are living there.			
# lang = mns			
Ам 	I	Pron Pers Sg1 Nom	
тай 	after all	Adv	
та 	that	Det Sg Nom	
ма̄т 	land	N Sg Loc	
о̄лнэ 	living	V PrsPrc 	
рӯтанум 	relative	N Pl Nom PxSg1	
щар 	very much	Adv	
ат 	no	Pcle Neg	
ва̄щиньтасанум	know 	V Act Ind Prt ScSg1 OcPl	
, 		CLB	
нас 	only	Attr	
ва̄глум	know	V Act Ind Prs ScSg1 OcSg	
, 		CLB	
тот 	there	Adv	
Самбиндаловыт 	Sambindalov	N Prop Pl Nom	
о̄лэ̄гыт	live	V Act Ind Prs ScPl3	
.		CLB	
